300
('X', (5, 3), (4, 3)), 299.999375326006
('O', (4, 2), (5, 2)), 294.32854692799447
('O', (3, 2), (4, 2)), 298.38733523801784
('O', (3, 4), (4, 4)), 292.10773536800116
('O', (2, 4), (2, 3)), 294.3458405580168
('O', (3, 4), (3, 3)), 291.2364920179971
('O', (1, 4), (2, 4)), 293.4317300820112
('O', (1, 0), (2, 0)), 290.65900241000054
('O', (1, 1), (1, 2)), 292.26425259200914
('O', (0, 1), (1, 1)), 290.25698317500064
('O', (0, 2), (0, 1)), 290.01899047200277
('O', (0, 3), (0, 2)), 290.18799091799883
('O', (1, 3), (1, 4)), 289.69011781399604
('O', (0, 3), (1, 3)), 290.1874638330046
